name,header,superhost,guests_rooms,rating,reviews,location,rarity,rarity_desc,house_rules,health_safety,cancellation,host_response,per night,total price,url,host
Luxury Japanese tranditional + Great location,Entire townhouse hosted by Satoru,None,6 guests · 3 bedrooms · 4 beds · 1 bath,4.91 ·,165 reviews,"Kita-ku, Kyōto-shi, Kyōto-fu, Japan",Lower price.,Your dates are $250 less than the avg. nightly rate of the last 60 days.,House rulesCheck-in: After 3:00 PMCheckout: 10:00 AMSelf check-in with lockboxNo smokingNo parties or eventsPets are allowedShow more,"Health & safety󹀁Airbnb's COVID-19 safety practices apply󱠃No carbon monoxide alarmSmoke alarm󰐂Security Deposit - if you damage the home, you may be charged up to $200Show more",Free cancellation before Aug 22.,"Policy number: M260010546Languages: English, 日本語Response rate: 100%Response time: within an hour",$127.00 x 7 nights,$970.11,https://www.airbnb.com/rooms/15592439?adults=2&children=0&infants=0&check_in=2022-08-27&check_out=2022-09-03&previous_page_section_name=1000,
"[NearGion, Arashiyama]Machiya near Nijo castle",Entire townhouse hosted by Hershey,Superhost,5 guests · 2 bedrooms · 4 beds · 2 baths,4.89 ·,242 reviews,"Nakagyō-ku, Kyōto-shi, Kyōto-fu, Japan",None,None,House rulesCheck-in: 3:00 PM - 2:00 AMCheckout: 11:00 AMSelf check-in with smart lockNo smokingNo petsNo parties or events,"Health & safety󹀁Airbnb's COVID-19 safety practices applyCarbon monoxide alarmSmoke alarm󰐂Security Deposit - if you damage the home, you may be charged up to $157Show more",Free cancellation before Aug 15.,"Policy number: Hotels and Inns Business Act | 京都市 | 京都市指令保保医第１９６８号Languages: 中文 (简体), English, 日本語Response rate: 100%Response time: within an hour",$184.26 x 7 nights,"$1,192.37",https://www.airbnb.com/rooms/14119709?adults=2&children=0&infants=0&check_in=2022-08-20&check_out=2022-08-27&previous_page_section_name=1000,
Enjoy an extraordinary experience in Kyoto's Takasegawa Riverside Machiya Suite Exclusively available until August for entire homes rented out per group per day♪ 　,Entire home hosted by うめ,None,5 guests · 3 bedrooms · 3 beds · 1 bath,5.0 ·,11 reviews,"Kyoto, Japan",None,None,House rulesCheck-in: 3:00 PM - 11:00 PMCheckout: 10:00 AMSelf check-in with keypadNo smokingNo petsNo parties or eventsShow more,"Health & safety󹀁Airbnb's COVID-19 safety practices apply󱠃Nearby lake, river, other body of waterCarbon monoxide alarmSmoke alarmShow more",Free cancellation before Jul 2.,"Policy number: Hotels and Inns Business Act | 京都市医療衛生センター | 京都市指令保医セ第７５９号Languages: English, Français, 日本語",$141.72 x 7 nights,"$1,187.99",https://www.airbnb.com/rooms/44053811?adults=2&children=0&infants=0&check_in=2022-08-01&check_out=2022-08-08&previous_page_section_name=1000,
Guesthouse Umeya twinroom with private garden,Private room in townhouse hosted by お宿梅夜,Superhost,2 guests · 1 bedroom · 2 beds · 1 shared bath,4.87 ·,214 reviews,"Kamigyō-ku, Kyōto-shi, Kyōto-fu, Japan",None,None,House rulesCheck-in: 4:00 PM - 9:00 PMCheckout: 11:00 AMSelf check-in with lockboxNot suitable for children and infantsNo smokingNo petsNo parties or eventsShow more,Health & safety󹀁Airbnb's COVID-19 safety practices apply󱠃No carbon monoxide alarmSmoke alarmShow more,Free cancellation before Aug 13.,"Policy number: Hotels and Inns Business Act | 京都市指令保保医 | 第1270号Languages: 中文 (简体), English, 日本語Response rate: 100%Response time: within an hour",$67.48 x 7 nights,$399.98,https://www.airbnb.com/rooms/16597516?adults=2&children=0&infants=0&check_in=2022-08-14&check_out=2022-08-21&previous_page_section_name=1000,
"You can go sightseeing and shopping next to Kyoto station, and you can sleep in the inn when you leave. Heartfelt service, just to make you feel like you belong!",Entire home hosted by 紅梅,Superhost,10 guests · 4 bedrooms · 10 beds · 2 baths,4.73 ·,242 reviews,"Kyoto, Kyoto Prefecture, Japan",None,None,House rulesCheck-in: After 11:00 AMCheckout: 2:00 PMSelf check-in with building staffNo smokingPets are allowedShow more,"Health & safety󹀁Airbnb's COVID-19 safety practices applyCarbon monoxide alarmSmoke alarm󰐂Security Deposit - if you damage the home, you may be charged up to $85Show more",Free cancellation before Jul 31.,"Policy number: Hotels and Inns Business Act | 京都市指令保医セ | 第44号Languages: 中文 (简体), 日本語Response rate: 100%Response time: within a few hours",$72.73 x 7 nights,$609.03,https://www.airbnb.com/rooms/13847481?adults=2&children=0&infants=0&check_in=2022-08-01&check_out=2022-08-08&previous_page_section_name=1000,
【Annex Suite102】1min walk from Nishiki Food Market,Entire townhouse hosted by RESISTAY Support,None,4 guests · 1 bedroom · 2 beds · 1 bath,4.85 ·,20 reviews,"Kyoto city, Kyoto, Japan",None,None,House rulesCheck-in: 3:00 PM - 12:00 AMCheckout: 11:00 AMNo smokingNo petsNo parties or eventsShow more,Health & safety󹀁Airbnb's COVID-19 safety practices apply󱠃No smoke alarm󱠆Carbon monoxide alarm not reported Show more󱠃Security camera/recording device Show moreShow more,Free cancellation before Aug 21.,"Policy number: Hotels and Inns Business Act | 京都市 | 京都市指令保医セ第303号Languages: English, 日本語Response rate: 100%Response time: within an hour",$126.03 x 7 nights,$935.18,https://www.airbnb.com/rooms/19645774?adults=2&children=0&infants=0&check_in=2022-08-26&check_out=2022-09-02&previous_page_section_name=1000,
traditional&modern 2 bedrm★small car free parking,Entire home hosted by Raina&Jelly,Superhost,9 guests · 2 bedrooms · 5 beds · 1.5 baths,4.89 ·,9 reviews,"Shimogyō-ku, Kyoto, Kyoto, Japan",None,None,House rulesCheck-in: After 4:00 PMCheckout: 11:00 AMSelf check-in with keypadNo smokingNo petsNo parties or events,Health & safety󹀁Airbnb's COVID-19 safety practices apply󱠃No carbon monoxide alarm󱠃Security camera/recording device Show moreSmoke alarmShow more,Free cancellation before Aug 22.,"Policy number: Hotels and Inns Business Act | 京都市 | 京都市指令保医セ第185号Languages: 中文 (简体), English, 日本語Response rate: 100%Response time: within an hour",$130.47 x 7 nights,$549.57,https://www.airbnb.com/rooms/45211796?adults=2&children=0&infants=0&check_in=2022-08-27&check_out=2022-09-03&previous_page_section_name=1000,
TabitabiStay「Moonlight」,Entire home hosted by Tabitabi Stay,Superhost,5 guests · 2 bedrooms · 2 beds · 1.5 baths,4.85 ·,53 reviews,"Kyoto-fu, Kyoto, Japan",This is a rare find.,Tabitabi Stay's place on Airbnb is usually fully booked.,House rulesCheck-in: 3:00 PM - 11:00 PMCheckout: 11:00 AMSelf check-in with keypadNo smokingNo petsNo parties or eventsShow more,Health & safety󹀁Airbnb's COVID-19 safety practices applyCarbon monoxide alarmSmoke alarmShow more,Free cancellation before Aug 13.,"Policy number: Hotels and Inns Business Act | 京都市長　門川大作 | 京都市指令保医セ第１９９号Languages: 中文 (简体), English, 日本語Response rate: 100%Response time: within an hour",$195.93 x 7 nights,"$1,356.48",https://www.airbnb.com/rooms/33622503?adults=2&children=0&infants=0&check_in=2022-08-18&check_out=2022-08-25&previous_page_section_name=1000,
HIBIタウンハウス現代設備の京町家貸切、嵐山、金閣寺バス停2分、着付自転車、JR円町駅から歩10分,Entire home hosted by Yoko,None,4 guests · 3 bedrooms · 6 beds · 1 bath,4.98 ·,121 reviews,"Kyotoshi, Kyoto-Fu, Japan",None,None,House rulesCheck-in: 3:00 PM - 8:00 PMCheckout: 10:00 AMSelf check-in with lockboxNot suitable for infants (under 2 years)No smokingNo petsNo parties or eventsShow more,Health & safety󹀁Airbnb's COVID-19 safety practices apply󱠆Carbon monoxide alarm not reported Show more󱠃Heights without rails or protectionSmoke alarmShow more,Free cancellation before Aug 7.,Policy number: Hotels and Inns Business Act | 京都市 | 京都市指令保医セ第 ７２２ 号,$77.16 x 7 nights,$581.66,https://www.airbnb.com/rooms/22524166?adults=2&children=0&infants=0&check_in=2022-08-08&check_out=2022-08-15&previous_page_section_name=1000,
SATO 201 Perfect location! Near Kamo river,Entire rental unit hosted by Kenta,None,2 guests · 1 bedroom · 1 bed · 1 bath,4.74 ·,216 reviews,"京都市下京区, 京都府, Japan",This is a rare find.,Kenta's place on Airbnb is usually fully booked.,House rulesCheck-in: 3:00 PM - 11:00 PMCheckout: 11:00 AMSelf check-in with lockboxNot suitable for children and infantsNo petsNo parties or events󱤇Smoking is allowed,"Health & safety󹀁Airbnb's COVID-19 safety practices applyCarbon monoxide alarmSmoke alarm󰐂Security Deposit - if you damage the home, you may be charged up to $118Show more",Free cancellation for 48 hours.,Policy number: Hotels and Inns Business Act | 保険福祉局医療衛生推進室医療衛生センター | 京都市指令保医セ第  268  号Response rate: 100%Response time: within an hour,$29.92 x 7 nights,$240.50,https://www.airbnb.com/rooms/17929678?adults=2&children=0&infants=0&check_in=2022-08-15&check_out=2022-08-22&previous_page_section_name=1000,
雲町屋 小杉 KumoMachiya KOSUGI,Entire home hosted by Kumo Machiya,None,4 guests · 2 bedrooms · 4 beds · 1.5 baths,4.68 ·,47 reviews," Kyoto, Kyoto Prefecture, Japan",None,None,House rulesCheck-in: 3:00 PM - 11:00 PMCheckout: 11:00 AMSelf check-in with keypadNo smokingNo petsNo parties or eventsShow more,Health & safety󹀁Airbnb's COVID-19 safety practices apply󱠃Security camera/recording device Show moreCarbon monoxide alarmSmoke alarmShow more,Free cancellation before Aug 15.,"Policy number: Hotels and Inns Business Act | 京都市医療衛生センター | 京都市指令保医セ第167号Languages: 中文 (简体), English, 日本語Response rate: 100%Response time: within an hour",$89.98 x 7 nights,$644.00,https://www.airbnb.com/rooms/18296599?adults=2&children=0&infants=0&check_in=2022-08-20&check_out=2022-08-27&previous_page_section_name=1000,
[JZ] Cozy Japanese Home 10 minutes to Heian sh..,Entire townhouse hosted by Matatabi,None,2 guests · 1 bedroom · 1 bed · 1.5 baths,4.74 ·,276 reviews,"Kyoto-shi, Kyoto Prefecture, Japan",This is a rare find.,Kyo-Machiya's place on Airbnb is usually fully booked.,House rulesCheck-in: After 3:00 PMCheckout: 10:00 AMNo smokingNo petsNo parties or eventsShow more,"Health & safety󹀁Airbnb's COVID-19 safety practices applyCarbon monoxide alarmSmoke alarm󰐂Security Deposit - if you damage the home, you may be charged up to $102Show more",Free cancellation for 48 hours.,"Policy number: Hotels and Inns Business Act | 京都府京都市保健所 | 京都市指令保保医第399号Languages: 中文 (简体), English, 日本語",$56.59 x 7 nights,$411.74,https://www.airbnb.com/rooms/3556766?adults=2&children=0&infants=0&check_in=2022-08-26&check_out=2022-09-02&previous_page_section_name=1000,
12min.from Kyoto sta.Japanese old style house,Entire home hosted by Yoshiyuki,None,4 guests · 2 bedrooms · 1 bath,4.89 ·,27 reviews,"京都市, 京都府, Japan",None,None,House rulesCheck-in: 3:00 PM - 9:00 PMCheckout: 10:00 AMNo smokingNo petsNo parties or eventsShow more,"Health & safety󹀁Airbnb's COVID-19 safety practices apply󱠃No carbon monoxide alarmSmoke alarm󰐂Security Deposit - if you damage the home, you may be charged up to $157Show more",Free cancellation for 48 hours.,"Policy number: Hotels and Inns Business Act | 京都府京都市 | 京都市指令保医セ第183号Languages: English, 日本語Response rate: 100%Response time: within a few hours",$62.99 x 7 nights,$485.68,https://www.airbnb.com/rooms/19165698?adults=2&children=0&infants=0&check_in=2022-08-19&check_out=2022-08-26&previous_page_section_name=1000,
"New construction,Long-term discount, Free Wi-Fi　２F",Private room in home hosted by Takeshi,Superhost,4 guests · 1 bedroom · 1 private bath,4.93 ·,91 reviews,"京都市, 京都府, Japan",This is a rare find.,宮口's place on Airbnb is usually fully booked.,House rulesCheck-in: After 4:00 PMCheckout: 10:00 AMSelf check-in with keypadNo smokingNo petsNo parties or eventsShow more,Health & safety󹀁Airbnb's COVID-19 safety practices apply󱠃No smoke alarm󱠃Security camera/recording device Show moreCarbon monoxide alarmShow more,Free cancellation before Aug 20.,Policy number: Hotels and Inns Business Act | 京都市指令保保医 | 京都市指令保保医第1472号Response rate: 100%Response time: within an hour,$55.11 x 7 nights,$471.81,https://www.airbnb.com/rooms/17003802?adults=2&children=0&infants=0&check_in=2022-08-21&check_out=2022-08-28&previous_page_section_name=1000,
GION Room/Gion Walking distance/Free internet,Entire rental unit hosted by Sugimoto,None,3 guests · 1 bedroom · 3 beds · 1 bath,4.57 ·,96 reviews,"京都市, 京都府, Japan",Lower price.,Your dates are $33 less than the avg. nightly rate of the last 60 days.,House rulesCheck-in: After 3:00 PMCheckout: 10:00 AMSelf check-in with keypadNo smokingNo petsNo parties or eventsShow more,Health & safety󹀁Airbnb's COVID-19 safety practices apply󱠆Carbon monoxide alarm not reported Show moreSmoke alarmShow more,Free cancellation before Aug 25.,Policy number: Hotels and Inns Business Act | 京都市 | 京都市指令保医セ第　74　号Response rate: 100%Response time: within an hour,$33.07 x 7 nights,$276.82,https://www.airbnb.com/rooms/26584601?adults=2&children=0&infants=0&check_in=2022-08-30&check_out=2022-09-06&previous_page_section_name=1000,
"The Kyo-machiya is full of romance! It can accommodate 9 people in one building, and it is fully equipped for long-term stays! It is a 10-minute walk from Kyoto Station!",Entire home hosted by Komori,Superhost,9 guests · 3 bedrooms · 9 beds · 1 bath,4.98 ·,40 reviews,"京都市下京区, 京都府, Japan",None,None,House rulesCheck-in: 3:00 PM - 8:00 PMCheckout: 10:00 AMNo smokingNo petsNo parties or eventsShow more,"Health & safety󹀁Airbnb's COVID-19 safety practices applyCarbon monoxide alarmSmoke alarm󰐂Security Deposit - if you damage the home, you may be charged up to $236Show more",Free cancellation before Aug 29.,Policy number: Hotels and Inns Business Act | 京都府京都市保健所 | 京都市指令保医セ第456号Language: EnglishResponse rate: 100%Response time: within an hour,$196.84 x 7 nights,$849.09,https://www.airbnb.com/rooms/28529917?adults=2&children=0&infants=0&check_in=2022-08-30&check_out=2022-09-06&previous_page_section_name=1000,
Kyotofish·Komatsu*Gion 100Yr Machiya*Maple Garden,Entire villa hosted by Karen,Superhost,5 guests · 3 bedrooms · 5 beds · 2 baths,4.69 ·,70 reviews,"Higashiyama-ku, Kyōto-shi, Kyōto-fu, Japan",None,None,House rulesCheck-in: After 3:00 PMCheckout: 10:00 AMSelf check-in with smart lockNo smokingNo petsNo parties or eventsShow more,Health & safety󹀁Airbnb's COVID-19 safety practices applyCarbon monoxide alarmSmoke alarmShow more,Free cancellation before Aug 6.,"Policy number: Hotels and Inns Business Act | 京都市 | 京都市指令保医セ第 334 号Languages: 中文 (简体), English, Français, 日本語, 한국어, EspañolResponse rate: 100%Response time: within an hour",$114.73 x 7 nights,$821.98,https://www.airbnb.com/rooms/26889434?adults=2&children=0&infants=0&check_in=2022-08-07&check_out=2022-08-14&previous_page_section_name=1000,
10mins from SHIJO station In the Heart of Kyoto!4A,Entire rental unit hosted by Shoji,Superhost,2 guests · 1 bedroom · 1 bed · 1 bath,5.0 ·,8 reviews,"Shimogyō-ku, Kyoto, Kyoto, Japan",None,None,House rulesCheck-in: After 3:00 PMCheckout: 10:00 AMNot suitable for infants (under 2 years)No smokingNo petsNo parties or eventsShow more,"Health & safety󹀁Airbnb's COVID-19 safety practices apply󱠆Carbon monoxide alarm not reported Show moreSmoke alarm󰐂Security Deposit - if you damage the home, you may be charged up to $157Show more",Free cancellation before Jul 15.,"Policy number: M260026070Languages: English, 日本語Response rate: 100%Response time: within a day",$47.24 x 7 nights,$390.84,https://www.airbnb.com/rooms/45347165?adults=2&children=0&infants=0&check_in=2022-08-14&check_out=2022-08-21&previous_page_section_name=1000,
Sweet 302 private room,Entire rental unit hosted by Fusako,Superhost,2 guests · 1 bedroom · 1 bed · 1 bath,4.81 ·,228 reviews,"京都市下京区, 京都府, Japan",This is a rare find.,Fusako's place on Airbnb is usually fully booked.,House rulesCheck-in: 3:00 PM - 11:00 PMCheckout: 11:00 AMSelf check-in with lockboxNot suitable for children and infantsNo petsNo parties or events󱤇Smoking is allowedShow more,"Health & safety󹀁Airbnb's COVID-19 safety practices applyCarbon monoxide alarmSmoke alarm󰐂Security Deposit - if you damage the home, you may be charged up to $87Show more",Free cancellation before Jul 16.,"Policy number: Hotels and Inns Business Act | 京都市保健福祉局医療衛生推進室医療衛生センター | 京都市指令保医セ第　６０１  号Languages: English, 日本語Response rate: 100%Response time: within an hour",$38.13 x 7 nights,$268.96,https://www.airbnb.com/rooms/17447851?adults=2&children=0&infants=0&check_in=2022-08-15&check_out=2022-08-22&previous_page_section_name=1000,
【Kyofuji】Near Nijo Castle★calligraphy experience♪,Entire home hosted by Kyo,None,5 guests · 2 bedrooms · 5 beds · 1 bath,5.0 ·,43 reviews,"Kamigyō-ku, Kyoto, Kyoto, Japan",This is a rare find.,Kyo's place on Airbnb is usually fully booked.,House rulesCheck-in: 4:00 PM - 11:00 PMCheckout: 11:00 AMNo smokingNo petsNo parties or eventsShow more,Health & safety󹀁Airbnb's COVID-19 safety practices apply󱠆Carbon monoxide alarm not reported Show moreSmoke alarmShow more,Free cancellation before Aug 25.,Policy number: M260014232Response rate: 100%Response time: within an hour,$86.02 x 7 nights,$681.95,https://www.airbnb.com/rooms/34960403?adults=2&children=0&infants=0&check_in=2022-08-30&check_out=2022-09-06&previous_page_section_name=1000,
"Traditional luxury MACHIYA ""Retreat Kamikashiwano""",Entire townhouse hosted by Sanki,None,5 guests · 2 bedrooms · 2 beds · 1 bath,4.94 ·,18 reviews,"京都市, 京都府, Japan",None,None,House rulesCheck-in: 1:00 PM - 6:00 PMCheckout: 11:00 AMSelf check-in with keypadNo smokingNo petsNo parties or eventsShow more,"Health & safety󹀁Airbnb's COVID-19 safety practices apply󱠁Carbon monoxide detector not required Show moreSmoke alarm󰐂Security Deposit - if you damage the home, you may be charged up to $236Show more",Free cancellation before Aug 3.,"Policy number: Hotels and Inns Business Act | 京都市指令保医セ | 第905号Languages: English, 日本語Response rate: 100%Response time: within a few hours",$181.09 x 7 nights,"$1,220.15",https://www.airbnb.com/rooms/33024602?adults=2&children=0&infants=0&check_in=2022-08-08&check_out=2022-08-15&previous_page_section_name=1000,
Clean&modern STUDIO 15 min to Kyoto St Twin,Entire rental unit hosted by 長野家,Superhost,2 guests · Studio · 1.5 baths,4.93 ·,73 reviews,"京都市, 京都府, Japan",This is a rare find.,長野家's place on Airbnb is usually fully booked.,House rulesCheck-in: 4:00 PM - 9:00 PMCheckout: 11:00 AMNo smokingNo petsNo parties or eventsShow more,"Health & safety󹀁Airbnb's COVID-19 safety practices applyCarbon monoxide alarmSmoke alarm󰐂Security Deposit - if you damage the home, you may be charged up to $110Show more",Free cancellation before Aug 8.,"Policy number: Hotels and Inns Business Act | 京都市 医療衛生センター | 京都市指令保保医第1633号Languages: English, 日本語Response rate: 100%Response time: within an hour",$81.55 x 7 nights,$456.68,https://www.airbnb.com/rooms/17180955?adults=2&children=0&infants=0&check_in=2022-08-13&check_out=2022-08-20&previous_page_section_name=1000,
A:Kyoto wood bath MACHIYA. subway 5 min,Entire home hosted by Sayumi & Yasuhiro,Superhost,4 guests · 1 bedroom · 4 beds · 1 bath,4.98 ·,63 reviews,"京都市上京区, 京都府, Japan",None,None,House rulesCheck-in: After 3:00 PMCheckout: 11:00 AMSelf check-in with keypadNo smokingNo petsNo parties or eventsShow more,Health & safety󹀁Airbnb's COVID-19 safety practices apply󱠃No carbon monoxide alarmSmoke alarmShow more,Free cancellation before Aug 21.,"Policy number: Hotels and Inns Business Act | 京都府京都市 | 京都市指令保医セ第87号Languages: English, 日本語Response rate: 100%Response time: within an hour",$204.71 x 7 nights,"$1,471.75",https://www.airbnb.com/rooms/18378087?adults=2&children=0&infants=0&check_in=2022-08-26&check_out=2022-09-02&previous_page_section_name=1000,
Old Traditional House/Experience retro living in a 100-year-old Kyomachiya/Nijo Saiin area,Entire townhouse hosted by Eri,None,4 guests · 2 bedrooms · 2 beds · Half-bath,None,"Kyoto, Japan","Kyoto, Japan",Special offer: $33 off this home.,This host is offering a one-time deal to the first 3 guests who book a trip between now and Aug 18.,House rulesCheck-in: 3:00 PM - 9:00 PMCheckout: 11:00 AM,Health & safety󹀁Airbnb's COVID-19 safety practices apply󱠆Carbon monoxide alarm not reported Show moreSmoke alarmShow more,Free cancellation before Aug 6.,Policy number: Hotels and Inns Business Act | 京都市 | 京都市指令保医セ第14号Response rate: 100%Response time: within a few hours,$47.24 x 7 nights,$339.65,https://www.airbnb.com/rooms/630923744781375817?adults=2&children=0&infants=0&check_in=2022-08-07&check_out=2022-08-14&previous_page_section_name=1000,
3min to Station  Btype 48m2「Kiyomizu Luxury Stay」,Entire rental unit hosted by Sumi,None,4 guests · 1 bedroom · 3 beds · 1 bath,4.95 ·,41 reviews,"京都市東山区, 京都府, Japan",None,None,House rulesCheck-in: 3:00 PM - 10:00 PMCheckout: 10:00 AMNot suitable for children and infantsNo smokingNo petsNo parties or eventsShow more,"Health & safety󹀁Airbnb's COVID-19 safety practices apply󱠃Security camera/recording device Show more󱠃Nearby lake, river, other body of water󱠃Heights without rails or protection󱠁Carbon monoxide detector not required Show moreShow more",Free cancellation before Aug 6.,Policy number: M260006231Response rate: 100%Response time: within an hour,$91.56 x 7 nights,$734.19,https://www.airbnb.com/rooms/26521450?adults=2&children=0&infants=0&check_in=2022-08-11&check_out=2022-08-18&previous_page_section_name=1000,
和楽庵【Twin】100 Year old Machiya Guest House  (3 pax),Private room in townhouse hosted by ｹﾞｽﾄﾊｳｽ 和楽庵,Superhost,3 guests · 1 bedroom · 3 beds · 2.5 shared baths,4.79 ·,167 reviews,"京都府, Japan",None,None,House rulesCheck-in: 12:00 PM - 9:00 PMCheckout: 11:00 AMNo smokingNo petsNo parties or eventsShow more,Health & safety󹀁Airbnb's COVID-19 safety practices apply󱠃No carbon monoxide alarmSmoke alarmShow more,Free cancellation before Aug 14.,"Policy number: Hotels and Inns Business Act | 京都市 | 京都市指令保保生第２７号Languages: English, 日本語Response rate: 100%Response time: within an hour",$56.30 x 7 nights,$376.74,https://www.airbnb.com/rooms/22867503?adults=2&children=0&infants=0&check_in=2022-08-15&check_out=2022-08-22&previous_page_section_name=1000,
"’’MACHIYA’’ PICK-UP ＆ KEEP LUGGAGE ,WIFI+３ PARKING",Hut hosted by Nori,None,14 guests · 6 bedrooms · 12 beds · 3 baths,4.66 ·,356 reviews,"京都市, 京都府, Japan",Good price.,Your dates are $221 less than the avg. nightly rate over the last 3 months.,House rulesCheck-in: 3:00 PM - 9:00 PMCheckout: 10:00 AMSelf check-in with smart lockNo smokingNo petsShow more,Health & safety󹀁Airbnb's COVID-19 safety practices apply󱠃Security camera/recording device Show more󱠃Pool/hot tub without a gate or lockCarbon monoxide alarmSmoke alarmShow more,Free cancellation before Aug 21.,"Policy number: Hotels and Inns Business Act | 京都市 | 京都市指令保医セ第952号Languages: العربية, বাংলা, 中文 (简体), Čeština, Dansk, Nederlands, English, Suomi, Français, Deutsch, Ελληνικά, עברית, हिन्दी, Magyar, Bahasa Indonesia, Italiano, 日本語, 한국어, Melayu, Norsk, Polski, Português, ਪੰਜਾਬੀ, Русский, Sign Language, Español, Svenska, Tagalog, ภาษาไทย, Türkçe, УкраїнськаResponse rate: 97%Response time: within an hour",$162.26 x 7 nights,"$1,202.94",https://www.airbnb.com/rooms/23427202?adults=2&children=0&infants=0&check_in=2022-08-22&check_out=2022-08-29&previous_page_section_name=1000,
【Cochi-en】A luxury Machiya suite for vacation home,Entire villa hosted by Accommo,None,7 guests · 2 bedrooms · 5 beds · 1.5 baths,,1 review,"京都市, 京都府, Japan",None,None,House rulesCheck-in: 3:00 PM - 8:00 PMCheckout: 10:00 AMNo smokingNo petsNo parties or eventsShow more,Health & safety󹀁Airbnb's COVID-19 safety practices apply󱠁Carbon monoxide detector not required Show moreSmoke alarmShow more,Free cancellation before Aug 14.,Policy number: Hotels and Inns Business Act | 京都府京都市医療衛生センター | 京都市指令保医セ第３６７号,$219.56 x 7 nights,"$1,229.53",https://www.airbnb.com/rooms/37381541?adults=2&children=0&infants=0&check_in=2022-08-19&check_out=2022-08-26&previous_page_section_name=1000,
Shiki Homes | KYOKA 鏡花,Entire home hosted by Shiki,Superhost,4 guests · 2 bedrooms · 3 beds · 1.5 baths,4.83 ·,24 reviews,"Nakagyō-ku, Kyoto, Kyoto, Japan",None,None,House rulesCheck-in: 4:00 PM - 10:00 PMCheckout: 10:00 AMNot suitable for children and infantsNo smokingNo petsNo parties or eventsShow more,Health & safety󹀁Airbnb's COVID-19 safety practices applyCarbon monoxide alarmSmoke alarmShow more,Free cancellation before Aug 23.,"Policy number: Hotels and Inns Business Act | 京都市指令保医セ | 第 210 号Languages: 中文 (简体), English, 日本語Response rate: 100%Response time: within an hour",$134.27 x 7 nights,$756.97,https://www.airbnb.com/rooms/35468730?adults=2&children=0&infants=0&check_in=2022-08-28&check_out=2022-09-04&previous_page_section_name=1000,
Sweet 202 Private Room\ ️,Entire rental unit hosted by Fusako,Superhost,2 guests · 1 bedroom · 1 bed · 1 bath,4.84 ·,126 reviews,"京都市下京区, 京都府, Japan",This is a rare find.,Fusako's place on Airbnb is usually fully booked.,House rulesCheck-in: 1:00 PM - 11:00 PMCheckout: 11:00 AMSelf check-in with lockboxNot suitable for children and infantsNo smokingNo petsNo parties or events,"Health & safety󹀁Airbnb's COVID-19 safety practices applyCarbon monoxide alarmSmoke alarm󰐂Security Deposit - if you damage the home, you may be charged up to $94Show more",Free cancellation before Jul 11.,"Policy number: Hotels and Inns Business Act | 京都市保健福祉局医療衛生推進室医療衛生センター | 京都市指令保医セ第　６０１  号Languages: English, 日本語Response rate: 100%Response time: within an hour",$38.13 x 7 nights,$268.96,https://www.airbnb.com/rooms/30217767?adults=2&children=0&infants=0&check_in=2022-08-10&check_out=2022-08-17&previous_page_section_name=1000,
★New Open/二条城歩行範囲/千本丸太駅徒歩３分/祇園嵐山清水寺京都駅直行バス/20㎡,Entire serviced apartment hosted by 小夏,None,2 guests · 1 bedroom · 2 beds · 1.5 baths,4.73 ·,66 reviews,"京都市上京区下立売通千本西入, 京都府, Japan",This is a rare find.,小夏's place on Airbnb is usually fully booked.,House rulesCheck-in: After 3:00 PMCheckout: 10:00 AMSelf check-in with smart lockNo smokingNo petsNo parties or eventsShow more,Health & safety󹀁Airbnb's COVID-19 safety practices applyCarbon monoxide alarmSmoke alarmShow more,Free cancellation before Aug 1.,"Policy number: Hotels and Inns Business Act | 京都市指令保医セ | 京都市指令保医セ第581号Languages: 中文 (简体), English, 日本語Response rate: 95%Response time: within a few hours",$66.92 x 7 nights,$437.36,https://www.airbnb.com/rooms/40766050?adults=2&children=0&infants=0&check_in=2022-08-02&check_out=2022-08-09&previous_page_section_name=1000,
Live deep inside Kyoto! CuteCozy StudioFlat W/WiFi,Entire home hosted by Kotomal,Superhost,4 guests · 1 bedroom · 2 beds · 1 bath,4.69 ·,238 reviews,"Sakyō-ku, Kyōto-shi, Kyōto-fu, Japan",None,None,House rulesCheck-in: After 3:00 PMCheckout: 10:00 AMSelf check-in with lockboxNo smokingNo petsNo parties or eventsShow more,Health & safety󹀁Airbnb's COVID-19 safety practices applyCarbon monoxide alarmSmoke alarmShow more,Free cancellation before Aug 5.,"Policy number: M260023082Languages: العربية, 中文 (简体), English, Français, Italiano, 日本語, 한국어, TürkçeResponse rate: 100%Response time: within an hour",$47.24 x 7 nights,$412.64,https://www.airbnb.com/rooms/15027997?adults=2&children=0&infants=0&check_in=2022-08-06&check_out=2022-08-13&previous_page_section_name=1000,
